OBJECTID,TPOREFNO,ADDRESS1,ADDRESS2,ADDRESS3,GlobalID,Year,TPOAge,FullAddress,Area
89,01/01,Ncr,Wester Gourdie Industrial Est,Kingsway West,b7d998b5-6b90-45f7-bc86-1179c9798ac0,2001,25,"Ncr, Wester Gourdie Industrial Est, Kingsway West",Camperdown
90,06/01,Thomas Wise Place,Ninewells,Dundee,9ad98fa9-4338-4762-9b78-27dcce8cd33f,2001,25,"Thomas Wise Place, Ninewells",Ninewells
91,01/82,Fairmuir Parish Church,Clepington Road,Dundee,536d0278-195e-4b35-943d-6a4cef482f5e,1982,44,"Fairmuir Parish Church, Clepington Road",Downfield
92,07/03,2 Mansion Drive,Dundee,Dd4 9Dd,410a4c63-b81c-47f0-81ee-497cb56ccd95,2003,23,"2 Mansion Drive, Dd4 9Dd",Claverhouse
93,08/03,Lethnot Gardens,Barnhill,Dundee,de356d45-13c0-4e7e-9520-7e13aaf6ff6f,2003,23,"Lethnot Gardens, Barnhill",Broughty Ferry
94,09/04,5 Lethnot Gardens,Barnhill,Dundee,2d2d712f-1477-49da-9c80-95a5e3bef36e,2004,22,"5 Lethnot Gardens, Barnhill",Broughty Ferry
95,02/05,26 Cedar Road,Broughty Ferry,Dundee,48d17112-1cbd-4148-a83f-9110fad9bc5c,2005,21,"26 Cedar Road, Broughty Ferry",Broughty Ferry
96,09/05,Ground To West,Millers Wynd,Dundee,266b5713-3d1c-41ee-924c-2e56a88c0170,2005,21,"Ground To West, Millers Wynd",City Centre
97,05/06,Land To West,Dykes Of Gray Road,Dundee,b3024d2d-197c-4476-acb9-b2f7cf4591a4,2006,20,"Land To West, Dykes Of Gray Road",Camperdown
98,04/02,The Arboetum,Tom Mcdonald Avenue,Dundee,f6a03852-c66a-4512-a4c2-ef0ea4fe038a,2002,24,"The Arboetum, Tom Mcdonald Avenue",Ninewells
99,03/07,Lodges,Hill Street,Broughty Ferry,a885bf3d-7d07-4c07-958d-06dbb9cdaaab,2007,19,"Lodges, Hill Street, Broughty Ferry",Broughty Ferry
100,09/07,22 Foggylea Gardens,Dundee,Dd2 3Lf,d5fe7684-2929-46d7-a5ce-a50a62c7adc7,2007,19,"22 Foggylea Gardens, Dd2 3Lf",Lochee
101,14/07,Tayside Primary Care Nhs Trust,Dudhope House,15 & 19 Dudhope Terrace,18a38d9d-5176-4dec-b5ab-25f30053ec28,2007,19,"Tayside Primary Care Nhs Trust, Dudhope House, 15 & 19 Dudhope Terrace",Dundee Law
102,16/08,Darkfalls,1A Castleroy Road,Broughty Ferry,96354f4c-0aa7-4ac2-9942-8b08c5dbd3a7,2008,18,"Darkfalls, 1A Castleroy Road, Broughty Ferry",Broughty Ferry
103,08/08,Land To West Of Shepherds Loan,And South Of Perth Road,Dundee,cc2c17e4-66aa-409a-9f75-700cd6627a5f,2008,18,"Land To West Of Shepherds Loan, And South Of Perth Road",West End
104,04/09,Suilven,7 Castleroy Road,Broughty Ferry,2080a3c6-cc95-426c-b843-ec2422a55bc8,2009,17,"Suilven, 7 Castleroy Road, Broughty Ferry",Broughty Ferry
105,01/10,Rowanbank,Drumgeith Road,Dundee,aa3e9783-22a5-4e75-b3d2-6a76421b56d8,2010,16,"Rowanbank, Drumgeith Road",Whitfield
