OBJECTID,Site reference,LDP2 reference,Year site added,Site area (ha),Site address,Easting,Northing,Site type,Site status,Owner/Developer,Tenure type,Planning application reference,Last planning approval date,Building warrant reference,Date completed/expired,Greenfield/Brownfield,Self build,Windfall site,Site capacity,BW plots written off,No of houses,No of flats,Plots completed in survey year,Total completions,Units to build,Year 24/25,Year 25/26,Year 26/27,Year 27/28,Year 28/29,Year 29/30,Year 30/31,Year 31/32,Year 32/33,Year 33/34,Later Years,Total Programmed,Shape__Area,Shape__Length
59,201510,H06,04/01/2015 00:00,6.142367226,LOCHEE DISTRICT CENTRE,337857,731572,Effective,Allocated in LDP,HILLCREST HA,RSL,"13/00678/FULL, 15/00079/FULL, 19/00738/FULL",1/27/2020 12:00:00 AM,21/00029/DOM1,,Brownfield,No,No,40,0,0,0,0,0,40,0,0,20,20,0,0,0,0,0,0,0,40,61423.67239,1268.032974
60,201109,H17,04/01/2011 00:00,23.96941728,CENTRAL WATERFRONT *,340509,729995,Effective,Allocated in LDP,DUNDEE CITY COUNCIL,Mixed,"17/00113/FULM, 18/00400/FULL, ",10/16/2020 12:00:00 AM,"18/00718/DOM1, 18/00719/DOM1, 22/00142/DOM1",,Brownfield,No,No,276,0,0,276,0,0,276,0,0,0,0,0,60,70,70,76,0,0,276,239694.1727,2470.21056
61,200807,H04,04/01/2008 00:00,0.44319051,QUARRY GARDENS,337130,732089,Constrained,Planning Consent,DUNDEE CITY COUNCIL,Private,,,,,Brownfield,No,No,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4431.905106,263.4391153
62,200504D,H32,10/22/2020 12:00:00 AM,1.823668326,ABERLADY CRESCENT PHASE 3B/4,343953,733534,Effective,Under Construction,DJ LAING,Private,"20/00121/FULL, 22/00657/FULL",02/10/2023 00:00,"15/00654/DOM1, 15/00654/DOM1/G",,Brownfield,No,No,34,2,32,0,4,31,3,3,-3,0,0,0,0,0,0,0,0,0,3,18236.68324,816.7369054
63,201904A,,05/07/2018 00:00,0.133660753,"PERTH ROAD, 474, LAND TO EAST OF COACH HOUSE",337685,729805,Small Site,Site Complete,PRIVATE,Private,"18/00129/FULL, 21/00086/FULL",05/07/2021 00:00,21/00461/DOM2,09/01/2023 00:00,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1336.607574,237.6215568
64,201009A,H30,11/15/2018 12:00:00 AM,0.474455118,HADDINGTON AVENUE (Phase 1),343571,733519,Effective,Site Complete,MERCHANT/HOME SCOTLAND,Private/RSL,18/00224/FULL,9/19/2019 12:00:00 AM,18/00744/DOM1,05/11/2023 00:00,Brownfield,No,No,13,0,13,0,2,13,0,0,0,0,0,0,0,0,0,0,,0,3,4744.551254,423.0495144
65,201902,,7/16/2018 12:00:00 AM,0.85218985,"COLDSIDE ROAD, LAND SOUTH OF",339507,731945,Effective,Under Construction,CALEDONIA HA,RSL,17/00933/FULL,7/16/2018 12:00:00 AM,19/00337/DOM1,,Brownfield,No,Yes,30,0,18,12,20,20,10,10,0,0,0,0,0,0,0,0,0,0,10,8521.898514,428.1049838
66,201414,H10,04/01/2014 00:00,0.827325514,LAUDERDALE AVENUE,338598,733531,Effective,Under Construction,INVERTAY HOMES,Private,18/00463/FULL,9/14/2018 12:00:00 AM,19/00083/DOM1,,Brownfield,No,No,27,0,27,0,2,26,1,1,0,0,0,0,0,0,0,0,0,0,1,8273.255173,395.875551
67,201904F,,09/06/2018 00:00,0.02174565,"ALBERT SQUARE, 21",340324,730464,Small Site,Site Complete,PRIVATE,Private,18/00454/FULL,09/06/2018 00:00,19/00085/DOM1,04/12/2023 00:00,Brownfield,No,Yes,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,,0,2,217.4565125,69.17031102
68,201904G,,10/15/2018 12:00:00 AM,0.084969977,"RIVER CRESCENT, GARDEN GROUND WEST OF BURNSIDE",336537,729831,Small Site,Site Complete,PRIVATE,Private,"18/00595/FULL, 20/00129/FULL",4/30/2020 12:00:00 AM,20/00330/DOM2,11/01/2023 00:00,Brownfield,No,Yes,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,1,849.6997833,128.2115691
69,201906,,9/25/2018 12:00:00 AM,0.140606226,LANGLANDS STREET,341037,731374,Effective,Under Construction,HILLCREST HA,RSL,18/00500/FULL,9/25/2018 12:00:00 AM,20/00378/DOM1,,Brownfield,No,Yes,16,0,0,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,16,1406.062317,178.2000623
70,201910,,12/14/2018 12:00:00 AM,0.285322203,"GUTHRIE STREET, THE OLD MILL",339735,730377,Effective,Under Construction,RAMSAY PROPERTIES LTD,Private,17/00134/FULL,12/14/2018 12:00:00 AM,19/00274/DOM1,,Brownfield,No,Yes,17,0,0,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,2853.221985,449.4234489
71,201908,,12/20/2018 12:00:00 AM,0.57494227,THORTER LOAN/SOUTH VICTORIA DOCK ROAD,340968,730232,Effective,Under Construction,HILLCREST HA,RSL,18/00387/FULM,12/20/2018 12:00:00 AM,19/00224/DOM1,,Brownfield,No,Yes,119,0,0,119,66,66,53,53,0,0,0,0,0,0,0,0,0,0,53,5749.422729,314.2387732
72,201912,,04/09/2019 00:00,3.948445999,ELLENGOWAN DRIVE,341769,731105,Effective,Under Construction,HILLCREST HA,RSL,18/00487/FULM,04/09/2019 00:00,"18/00752/DOM1, 18/00753/DOM1",,Brownfield,No,Yes,130,0,22,48,8,70,60,60,0,0,0,0,0,0,0,0,0,0,60,39484.45992,1150.85965
